Year,Number,Lowest,Second,Third,Fourth,Top5,Race
2019,"7,334","40,200","77,000","120,508","190,330","356,573",Asian
2018,"7,416","33,600","67,359","107,745","175,400","323,644",Asian
2017,"7,114","32,000","64,503","101,400","169,056","309,970",Asian
2016,"6,750","31,345","65,000","100,047","160,132","274,310",Asian
2015,"6,640","30,000","60,000","97,584","157,258","280,100",Asian
2014,"6,333","28,800","58,880","93,670","147,000","256,500",Asian
2013,"6,160","28,200","57,137","90,150","146,150","260,000",Asian
2012,"5,872","27,961","54,277","84,957","137,006","244,001",Asian
2011,"5,705","25,002","50,045","80,303","125,449","224,153",Asian
2010,"5,550","24,500","50,020","80,000","130,000","216,268",Asian
2009,"4,940","25,000","50,002","82,000","130,540","233,300",Asian
2008,"4,805","24,300","50,000","82,216","128,888","220,230",Asian
2007,"4,715","25,320","51,380","81,251","125,800","210,501",Asian
2006,"4,664","26,510","50,000","80,000","125,600","220,020",Asian
2005,"4,500","24,000","49,460","75,302","116,900","212,004",Asian
2004,"4,346","24,000","46,800","70,800","110,338","188,966",Asian
2003,"4,235","19,000","42,672","69,516","105,404","172,200",Asian
2002,"4,079","22,002","41,050","65,124","101,300","178,870",Asian
2019,"18,055","17,401","35,000","58,469","100,000","198,194",Black
2018,"18,095","15,600","31,800","53,000","89,528","172,110",Black
2017,"17,801","15,000","31,185","52,000","88,370","166,390",Black
2016,"17,505","14,732","30,004","50,092","85,316","159,622",Black
2015,"17,322","13,800","28,600","48,730","81,644","150,584",Black
2014,"17,198","13,259","27,120","45,057","77,880","148,000",Black
2013,"16,855","13,210","26,500","44,110","75,000","140,014",Black
2012,"16,559","12,587","25,007","43,783","74,000","135,802",Black
2011,"16,165","12,000","24,730","42,000","71,852","134,226",Black
2010,"15,909","11,800","24,700","40,950","70,000","128,340",Black
2009,"15,212","12,811","25,200","42,000","70,114","126,300",Black
2008,"15,056","13,000","26,200","42,640","70,812","127,565",Black
2007,"14,976","12,524","26,000","43,005","71,000","126,400",Black
